2.00 0.00 76 2021-03-26-12:13:58
                        END
06:69:6c:eb:03:6d -57 w | -57-57-57-57
06:74:9c:23:fd:b0 -43 w | -43-43-43-43
06:74:9c:23:fd:b1 -31 w | -31-31-31-31
1a:74:9c:25:03:bf -82 w | -82-82-82-82
06:69:6c:c3:d9:24 -67 w | -67-67-67-67
06:69:6c:bc:f6:e2 -74 w | -74-74-74-74
1a:74:9c:23:fb:34 -80 w | -80-80-80-80
d8:24:bd:76:98:3f -48 w | -48-48-48-48
1a:69:6c:eb:07:09 -68 w | -68-68-68-68
0a:74:9c:25:1d:2c -81 w | -81-81-81-81
1a:69:6c:eb:0a:ed -82 w | -82-82-82-82
1a:69:6c:ea:f9:89 -85 w | -85-85-85-85
1a:69:6c:ea:f9:84 -77 w | -77-77-77-77
1a:74:9c:24:f6:6f -83 w | -83-83-83-83
06:69:6c:bc:f6:e1 -72 w | -72-72-72-72
00:95:69:bc:34:9d -79 w | -79-79-79-79
4.00  0.00 83 2021-03-27-17:54:08
d1:45:b5:b8:74:ba -82 b | -82-87-80-90-84-82-86-91-82-82-82
12:3b:6a:1a:93:a7 -94 b | -94-95-92-91-96
c7:b3:82:c6:c6:05 -72 b | -72-73-74-74-75-74-75-76-74-76-78-76-75-75-76
12:3b:6a:1a:92:c0 -95 b | -95-92-91-93-90-91
c0:16:7b:b9:9d:2e -84 b | -84-82-82-84-91-92-90-79-76-76-76
1a:69:6c:c3:d9:25 -82 w | -82-82-74
1a:74:9c:25:01:7f -84 w | -84-84
1a:69:6c:c3:d9:24 -65 w | -65-65
0a:74:9c:23:fd:b0 -44 w | -44-44-33
0a:74:9c:23:fd:b1 -31 w | -31
0a:69:6c:eb:09:1f -85 w | -85
1a:69:6c:eb:0b:9c -81 w | -81
1a:69:6c:bc:f9:76 -74 w | -74
1a:74:9c:23:fd:20 -71 w | -71
1a:69:6c:eb:09:a4 -82 w | -82-82
06:69:6c:eb:03:6d -57 w | -57-57-62
06:69:6c:eb:01:8e -74 w | -74
06:74:9c:23:fd:b0 -43 w | -43-43-34
06:74:9c:23:fd:b1 -31 w | -31-31-30
1a:74:9c:25:03:bf -82 w | -82-82
1a:74:9c:23:fb:34 -80 w | -80-80
0a:69:6c:eb:01:8e -74 w | -74
0a:74:9c:23:fd:ed -73 w | -73
06:69:6c:ea:fa:19 -84 w | -84
1a:69:6c:eb:0a:ed -82 w | -82-82
1a:69:6c:ea:f9:89 -85 w | -85-85
1a:69:6c:ea:f9:84 -77 w | -77-77
0a:69:6c:eb:03:6d -62 w | -62
1a:74:9c:24:f6:6f -83 w | -83-83
0a:69:6c:ea:fe:64 -74 w | -74
4.00  1.00 50 2021-03-27-17:54:19
d1:45:b5:b8:74:ba -77 b | -77-78-78-79-79-78-77-76-75-82-82-82
12:3b:6a:1a:93:a7 -90 b | -90-90-90-90-91-95
c7:b3:82:c6:c6:05 -82 b | -82-82-83-82-83-82-82-83-85-86-85-76-77-77
12:3b:6a:1a:92:c0 -102 b | -102-96-94-93-93
c0:16:7b:b9:9d:2e -81 b | -81-80-80-78-79-80-82-82-83-83-82-82-83-83
1a:69:6c:c3:d9:25 -74 w | -74-74-74-74
0a:74:9c:23:fd:b0 -33 w | -33-33-33-33
0a:74:9c:23:fd:b1 -31 w | -31-31-31-31
0a:69:6c:eb:09:1f -85 w | -85-85-85-85
1a:69:6c:eb:0b:9c -81 w | -81-81-81-81
1a:69:6c:bc:f9:76 -74 w | -74-74-74-74
1a:74:9c:23:fd:20 -71 w | -71-71-71-71
06:69:6c:eb:03:6d -62 w | -62-62-62-62
06:69:6c:eb:01:8e -74 w | -74-74-74-74
06:74:9c:23:fd:b0 -34 w | -34-34-34-34
06:74:9c:23:fd:b1 -33 w | -33-33-34-34
0a:69:6c:eb:01:8e -74 w | -74-74-74-74
0a:74:9c:23:fd:ed -73 w | -73-73-73-73
06:69:6c:ea:fa:19 -84 w | -84-84-84-84
0a:69:6c:eb:03:6d -62 w | -62-62-62-62
0a:69:6c:ea:fe:64 -74 w | -74-74-74-74
b0:95:8e:97:21:cd -83 w | -83-83-83-83
06:69:6c:ea:f9:ba -72 w | -72-72-72-72
1a:74:9c:23:fd:f8 -78 w | -78-78-78-78
06:69:6c:ea:fe:64 -73 w | -73-73-73-73
06:74:9c:25:1d:2d -88 w | -88-88-88-88
0a:74:9c:25:01:7f -79 w | -79-79-79-79
1a:74:9c:24:fb:c7 -81 w | -81-81-81-81
0a:69:6c:ea:f9:ba -73 w | -73-73-73-73
1a:69:6c:be:95:72 -78 w | -78-78-78-78
3.00  1.00 86 2021-03-27-17:54:31
d1:45:b5:b8:74:ba -81 b | -81-82-81-81-81-78-78-76-75-76-75
12:3b:6a:1a:93:a7 -91 b | -91-91-90-91-99
12:3b:6a:1a:92:c0 -90 b | -90-90-88-88-89-89
c7:b3:82:c6:c6:05 -76 b | -76-79-81-80-78-78-78-70-71-71
c0:16:7b:b9:9d:2e -73 b | -73-73-73-73-73-72-73-72-77-77-78
1a:69:6c:c3:d9:25 -74 w | -74-70-70
